Trials,Probability
1000000,3.13
2000000,3.13
3000000,3.14
4000000,3.13
5000000,3.13
6000000,3.14
7000000,3.13
8000000,3.13
9000000,3.13
10000000,3.13
11000000,3.13
12000000,3.13
13000000,3.12
14000000,3.12
15000000,3.13
16000000,3.13
17000000,3.13
18000000,3.12
19000000,3.13
20000000,3.11
21000000,3.13
22000000,3.13
23000000,3.12
24000000,3.13
25000000,3.12
26000000,3.13
27000000,3.12
28000000,3.12
1000000,3.13
2000000,3.13
3000000,3.13
4000000,3.12
5000000,3.11
6000000,3.11
7000000,3.12
8000000,3.12
9000000,3.12
10000000,3.12
11000000,3.12
12000000,3.12
13000000,3.12
14000000,3.12
15000000,3.12
1000000,3.14
2000000,3.12
3000000,3.12
4000000,3.13
5000000,3.13
6000000,3.12
7000000,3.12
8000000,3.12
9000000,3.13
